path,domain,bytes,lines,kind,scan_signals,sha256
app/src/main/res/layout/activity_tbs_debug.xml,resources,426,10,text-static-inventory,network;media,c03347d44492e67b5e88e097417ef662555fc0ec3f5e6afe21ed4372ee85f40f
app/src/main/res/layout/channel.xml,resources,1756,43,text-static-inventory,network,5aee228f5046f6515cf20603a57d764b10d3e3af92e39a21b99d888b8b5d6753
app/src/main/res/layout/dialog_confirmation.xml,resources,1929,54,text-static-inventory,network,4d173af102a55e7e1d7feeea665bd18cc5e8843a763e0f856b52b93634375d66
app/src/main/res/layout/error.xml,resources,2248,57,text-static-inventory,network,b4777dd4bf87130d74747c2d6dd9ef6fe1f4c5f77bf1f8f470a7579749fcc23a
app/src/main/res/layout/fragment_source_select.xml,resources,2376,64,text-static-inventory,network,21bf8be670c789d163796a295c89c5027a2344310e7c045ee295c0049618b523
app/src/main/res/layout/group_item.xml,resources,1394,37,text-static-inventory,network,81b0cb6dc5e7dc631a61263529c85e031ecb530f54c0a89daa40c5f156eff070
app/src/main/res/layout/info.xml,resources,2613,61,text-static-inventory,network,3b14552a2b234d8a233fc0f558331d917771d5312dece6b15366b8745eeee357
app/src/main/res/layout/item_source.xml,resources,1061,27,text-static-inventory,network,f11e4292dfcad1819cc55e6477497ddb2439d1499659ffae965abd0765132701
app/src/main/res/layout/list_item.xml,resources,2635,63,text-static-inventory,network,8695e14159b30c788cd2e1d560535ff7b30df6f8e3b970d3d363fc3b971b518f
app/src/main/res/layout/loading.xml,resources,1495,40,text-static-inventory,network,46066c76ad3eba74046eed3963017e1fc85b4862fa073303715cb41643f9f3df
app/src/main/res/layout/menu.xml,resources,5614,133,text-static-inventory,network;focus-input,9f6d4742569f6087e2068724d480e1d6171f2f8fdffa330c608cea76e045dc89
app/src/main/res/layout/modal.xml,resources,1545,34,text-static-inventory,network,ae7a77d2863e986dcda87b2b86eb7fc82879473a12b716df7fd671023ff7a257
app/src/main/res/layout/player.xml,resources,2496,67,text-static-inventory,network,cca5d313e03e6dd7883023f2ad956e6d6af9ea4017a9d1148618355dc0b64f84
app/src/main/res/layout/program.xml,resources,2543,66,text-static-inventory,network,2d70f27a708c424c40c66318458ed5c0e7765e546246cff459420ee0fe8e24e2
app/src/main/res/layout/program_item.xml,resources,3084,72,text-static-inventory,network,37df3e5bf808ac5d3ea0a9743b35df784303fc6632e1432e4838a64b3b6e3dd1
app/src/main/res/layout/search.xml,resources,3384,90,text-static-inventory,network,4e4e39f0bcfbce3be1accbda9d2a09a0c38d849a3efdc764b27b1ad4353d3126
app/src/main/res/layout/setting.xml,resources,25396,509,text-static-inventory,network,e8658db67129346ca7fd7c8d66f540f9d8cb9e26aa9fdffcfa956452c775a6b6
app/src/main/res/layout/setting_mytv1.xml,resources,15823,314,text-static-inventory,network;focus-input,8ddaf3adebd1a7bd1475bc09ee6dfa98a30030f1d4ec75589c504f2af2769f48
app/src/main/res/layout/settings_web.xml,resources,1195,29,text-static-inventory,network;media,fccbba04380ec1f3a8d0c51f2fe430bf412e71836e948daa003f051bd4694e86
app/src/main/res/layout/show.xml,resources,650,17,text-static-inventory,network,41716d8828569a59da8daad1005b924d8b3887899e7869ba19e8887094d10496
app/src/main/res/layout/sources.xml,resources,1547,35,text-static-inventory,network,59d8fe30b0686916accb0180240f6f936899611551d48970f1ec4bfafd1a04a7
app/src/main/res/layout/sources_item.xml,resources,2939,68,text-static-inventory,network,404fa1b83e04f8c66dc08e70492ad6459b9add3797882317662b9eeaf2e3b2df
app/src/main/res/layout/time.xml,resources,1760,44,text-static-inventory,network,3b7b2ecc68f91da4a95f2db1badfc726b1d67fe84736490a1ac0d24433b7ce14
app/src/main/res/layout/userconfirm.xml,resources,5232,131,text-static-inventory,network;focus-input,fc31e03b93fb72470d9b9736478a3a02b7acc9140cdd69f4cf59508be995340d
app/src/main/res/mipmap-hdpi/ic_launcher.webp,resources,1404,,binary-metadata-only,,dd00996198640ed28fbc09cdcd7a3807cf8707f3eb255b659634da3ca6a6ff01
app/src/main/res/mipmap-mdpi/ic_launcher.webp,resources,982,,binary-metadata-only,,846219e6f72fe9a6c104ca8919cbee36a101e7d2ff8da9da67b689a5888f060d
app/src/main/res/mipmap-xhdpi/ic_launcher.webp,resources,1900,,binary-metadata-only,,398340dad816fc9a6338cb151a8cf1e45b926f9bfb70628b24c4bd2523cc94d4
app/src/main/res/mipmap-xxhdpi/ic_launcher.webp,resources,2884,,binary-metadata-only,,58ae87fa0c5b5d1562d27fd648d2c061553fe20e3ed570bde588162d01ea7a27
